"iso3c","lfcov"
"DZA",53.8
"AGO",4
"BEN",5.2
"BWA",43.1
"BFA",5.5
"BDI",4.9
"CMR",12.4
"CPV",56.6
"CAF",13.9
"TCD",4.7
"COG",14.2
"COD",26.2
"CIV",14.7
"DJI",4
"EGY",51.1
"GNQ",14.5
"ETH",17.4
"GAB",45
"GMB",23.4
"GHA",16.6
"GIN",14.5
"KEN",9.3
"LSO",4
"LBR",80.5
"LBY",4
"MDG",9.3
"MWI",6.9
"MLI",9.1
"MRT",8.6
"MUS",68.2
"MAR",39
"NAM",47.1
"NER",90.9
"NGA",32.8
"RWA",4.5
"STP",28.9
"SEN",27.3
"SYC",69.1
"SLE",6.1
"ZAF",67.5
"SDN",62.1
"SWZ",62.6
"TZA",8.8
"TGO",84.2
"TUN",42
"UGA",16
"ZMB",11.9
"ZWE",25.4
"ARM",59.3
"AZE",39.7
"BHR",84.6
"BGD",12.5
"BTN",4
"BRN",88
"CHN",24.2
"GEO",23.3
NA,4
"IND",7.9
"IDN",28.7
"IRN",38.7
"ISR",74.1
"JPN",85
"JOR",44.6
"KAZ",56.1
"KOR",85.2
"KWT",95.1
"KGZ",44
"LAO",6.7
"LBN",47.8
"MYS",36.2
"MMR",4
"NPL",3.8
"OMN",40.2
"PAK",28.6
"PHL",45.8
"SAU",77.4
"SGP",72.6
"LKA",42.3
"SYR",47.8
"TWN",74.1
"THA",26.2
"TKM",52.6
"UZB",44.1
"VNM",30.4
"YEM",37.7
"ALB",34.7
"AUT",77.4
"BLR",70.9
"BEL",63.1
"BGR",66.2
"HRV",68.2
"CZE",66.2
"CYP",68.2
"DNK",88
"EST",76.8
"FIN",66.5
"FRA",74.1
"DEU",63
"GRC",46.9
"HUN",78.3
"ISL",95.1
"IRL",71.8
"ITA",72.2
"LVA",69.2
"LIE",4
"LTU",64.7
"LUX",77.1
"MLT",73.5
"MDA",60.2
"MCO",4
"NLD",97.6
"NOR",89.6
"POL",100
"PRT",77.3
"ROU",63.1
"RUS",74.4
"SMR",96.9
NA,4
"SVK",66.4
"SVN",80.2
"ESP",48.3
"SWE",84.8
"CHE",66.7
"TUR",68.4
"UKR",64.1
"GBR",68
"ARG",44.9
"BHS",82.6
"BRB",65.6
"BLZ",80.6
NA,4
"BOL",16
"BRA",56.5
NA,4
"CHL",76
"COL",44.5
"CRI",60.1
"CUB",94.4
"DMA",60.8
"DOM",80
"ECU",49
"SLV",26.8
"GRD",60.7
"GTM",65.6
"GUY",56.6
"HTI",15.7
"HND",16.3
"JAM",52
"MEX",49.3
"NIC",44.9
"PAN",59.6
"PRY",32.1
"PER",39.5
"KNA",80.6
"LCA",49.5
"VCT",59.4
"TTO",65.5
"URY",54.6
"VEN",57.9
"CAN",69.1
"USA",84.8
"AUS",72
"FJI",40.1
"KIR",32.8
"NZL",100
"PLW",85
"PNG",6.4
"WSM",53.5
"SLB",14.5
