"iso3c","hours_lost"
"AFG",6.5
"ALB",3.9
"DZA",11.6
"AGO",8.6
"ARG",21
"ARM",16.8
"AUS",4.7
"AUT",10.5
"AZE",14.1
"BHS",14.8
"BHR",9
"BGD",12.2
"BRB",10.4
"BLR",1.3
"BEL",7.3
"BLZ",11.1
"BEN",3.2
"BTN",11.9
"BOL",20.5
"BIH",9.7
"BWA",6.4
"BRA",14.9
"BRN",4.4
"BGR",6
"BFA",2.6
"BDI",-0.1
"KHM",4.8
"CMR",4.2
"CAN",9.3
"CPV",13.3
"CAF",5
"TCD",8.4
"CHL",16.7
"CHN",4.1
"COL",20.9
"COM",7.1
"COG",9.3
"COD",6.6
"CRI",17.5
"HRV",5.5
"CUB",12.5
"CYP",14.6
"CZE",4.3
"CIV",4.2
"DNK",3.3
"DJI",6.8
"DOM",15.5
"ECU",17.6
"EGY",9.5
"SLV",19.4
"GNQ",8.5
"ERI",14.7
"EST",4.5
"SWZ",9.9
"ETH",9.5
"FJI",6.3
"FIN",1.3
"FRA",8.4
"PYF",5.7
"GAB",8.3
"GMB",7.7
"GEO",13.1
"DEU",6.3
"GHA",4.7
"GRC",12.6
"GUM",9.6
"GTM",16.4
"GIN",7.6
"GNB",8.9
"GUY",12.5
"HTI",7.6
"HND",24.3
"HKG",8.6
"HUN",5.2
"ISL",6.3
"IND",13.7
"IDN",8.2
"IRN",5.9
"IRQ",10.8
"IRL",12.5
"ISR",9.2
"ITA",13.5
"JAM",11.3
"JPN",5.4
"JOR",10.4
"KAZ",11.5
"KEN",9.5
"PRK",4.4
"KOR",3.7
"KWT",16.4
"KGZ",11.7
"LAO",4.3
"LVA",3.3
"LBN",10.3
"LSO",7.4
"LBR",9
"LBY",9.3
"LTU",6.1
"LUX",3.7
"MAC",1.9
"MDG",6.9
"MWI",5.1
"MYS",11.1
"MDV",11.4
"MLI",3.3
"MLT",10.6
"MRT",5.3
"MUS",6.7
"MEX",12.5
"MDA",12.9
"MNG",2.5
"MNE",7.8
"MAR",14.1
"MOZ",5.2
"MMR",13.4
"NAM",5.9
"NPL",17.4
"NLD",4.3
"NCL",3.5
"NZL",0.8
"NIC",3.7
"NER",1.1
"NGA",8.9
"MKD",13.8
"NOR",2.5
"PSE",13.1
"OMN",13.1
"PAK",9.2
"PAN",23.5
"PNG",1.8
"PRY",11.4
"PER",27.5
"PHL",13.6
"POL",3.5
"PRT",13.4
"PRI",8.6
"QAT",9.5
"ROU",8.8
"RUS",8.5
"RWA",9.4
"LCA",9.8
"VCT",9.3
"WSM",4.8
"STP",8.9
"SAU",8.3
"SEN",6.3
"SRB",7.5
"SLE",3.8
"SGP",7.8
"SVK",12.8
"SVN",8
"SLB",1.8
"SOM",2.5
"ZAF",13.6
"SSD",8.7
"ESP",13.2
"LKA",9.9
"SDN",9.1
"SUR",11.8
"SWE",5.2
"CHE",3.8
"SYR",7.8
"TWN",3.9
"TJK",3.2
"TZA",1.8
"THA",4.5
"TLS",2.7
"TGO",4.9
"TON",7.4
"TTO",11.3
"TUN",6
"TUR",14.7
"TKM",3.8
"UGA",12.2
"UKR",8.8
"ARE",9.3
"GBR",12.8
"USA",9.2
"VIR",13
"URY",11.2
"UZB",8.5
"VUT",5.3
"VEN",13.7
"VNM",5.2
"ESH",8.2
"YEM",1.3
"ZMB",2.6
