"iso3c","polity2"
"AFG",-1
"ALB",9
"ALG",2
"ANG",-2
"ARG",9
"ARM",6
"AUL",10
"AUS",10
"AZE",-7
"BAH",-8
"BEL",8
"BEN",7
"BFO",6
"BHU",6
"BLR",-7
"BNG",-1
"BOL",7
"BOS",-8
"BOT",8
"BRA",8
"BUI",-1
"BUL",9
"CAM",-2
"CAN",10
"CAO",-4
"CAP",10
"CEN",6
"CHA",-2
"CHL",10
"CHN",-7
"COL",7
"COM",5
"CON",-4
"COS",10
"CRO",9
"CUB",-6
"CYP",10
"CZR",9
"DEN",10
"DJI",3
"DOM",7
"ECU",5
"EGY",-4
"EQG",-6
"ERI",-7
"EST",9
"ETI",-2
"ETM",8
"FIN",10
"FJI",2
"FRN",10
"GAB",3
"GAM",1
"GHA",8
"GMY",10
"GNB",6
"GRC",10
"GRG",7
"GUA",8
"GUI",4
"GUY",7
"HAI",5
"HON",7
"HUN",10
"IND",9
"INS",9
"IRE",10
"IRN",-7
"IRQ",6
"ISR",6
"ITA",10
"IVO",4
"JAM",9
"JOR",-3
"JPN",10
"KEN",9
"KOS",8
"KUW",-7
"KYR",8
"KZK",-6
"LAO",-7
"LAT",8
"LBR",6
"LEB",6
"LES",8
"LIB",0
"LIT",10
"LUX",10
"MAA",-2
"MAC",9
"MAG",6
"MAL",6
"MAS",10
"MAW",6
"MEX",8
"MLD",9
"MLI",5
"MNT",9
"MON",10
"MOR",-4
"MYA",8
"MZM",5
"NAM",6
"NEP",6
"NEW",10
"NIC",6
"NIG",7
"NIR",5
"NOR",10
"NTH",10
"OMA",-8
"PAK",7
"PAN",9
"PAR",9
"PER",9
"PHI",8
"PNG",5
"POL",10
"POR",10
"PRK",-8
"QAT",-8
"ROK",8
"RUM",9
"RUS",4
"RWA",-3
"SAF",9
"SAL",8
"SAU",-8
"SDN",-4
"SEN",7
"SER",8
"SIE",7
"SIN",-2
"SLO",10
"SLV",10
"SOL",8
"SOM",5
"SPN",10
"SRI",6
"SSU",0
"SUR",5
"SWA",-9
"SWD",10
"SWZ",10
"SYR",-9
"TAJ",-3
"TAW",10
"TAZ",3
"THI",-3
"TKM",-8
"TOG",-2
"TRI",10
"TUN",7
"TUR",-4
"UAE",-8
"UGA",-1
"UKG",8
"UKR",4
"URU",10
"USA",7
"UZB",-9
"VEN",-1
"VIE",-7
"YEM",0
"ZAI",-3
"ZAM",6
"ZIM",4
